property_id,school_code,school_name,suburb,postcode,region,latitude,longitude,school_type,enrolment
Property 11053,2189,Hunters Hill Public School,Hunters Hill,2110,Metropolitan North,-33.835121,151.151254,Primary School,228.0
Property 11127,1249,Black Mountain Public School,Black Mountain,2365,Rural North,-30.308489,151.657688,Primary School,20.0
Property 11477,4000,Guildford West Public School,Guildford West,2161,Metropolitan South,-33.847672,150.966496,Primary School,366.0
Property 12033,3696,Soldiers Point Public School,Soldiers Point,2317,Regional North,-32.709978,152.065351,Primary School,267.0
Property 12773,3352,Walla Walla Public School,Walla Walla,2659,Rural South and West,-35.757961,146.900625,Primary School,40.0
Property 1373,2482,Maroubra Bay Public School,Maroubra,2035,Metropolitan South,-33.944236,151.253017,Primary School,269.0
Property 13768,2103,Gundagai South Public School,SOUTH GUNDAGAI,2722,Rural South and West,-35.080802,148.103086,Primary School,47.0
Property 13930,1932,Forest Lodge Public School,Forest Lodge,2037,Metropolitan South,-33.882169,151.181597,Primary School,307.0
Property 14328,5721,Mary Brooksbank School,Rosemeadow,2560,Regional South and Connected Communities,-34.09782,150.792742,Schools for Specific Purposes,123.0
Property 15442,1318,Boree Creek Public School,Boree Creek,2652,Rural South and West,-35.105937,146.606338,Primary School,19.0
Property 18978,1292,Bondi Beach Public School,Bondi Beach,2026,Metropolitan South,-33.8883,151.276821,Primary School,348.0
Property 19661,2015,Glenquarry Public School,Glenquarry,2576,Regional South and Connected Communities,-34.522335,150.483539,Primary School,23.0
Property 20350,3311,Ungarie Central School,UNGARIE,2669,Rural South and West,-33.637104,146.977953,Central/Community School,88.0
Property 20465,3461,Wingello Public School,Wingello,2579,Regional South and Connected Communities,-34.688162,150.153487,Primary School,40.0
Property 20998,8484,Sydney Secondary College Balmain Campus,Rozelle,2039,Metropolitan South,-33.858506,151.170052,Secondary School,854.0
Property 21176,1258,Blaxland Public School,Blaxland,2774,Regional North,-33.737103,150.603489,Primary School,137.0
Property 26147,3110,Stockton Public School,Stockton,2295,Regional North,-32.910956,151.781095,Primary School,254.0
Property 30000,5696,Sandon Public School,Armidale,2350,Rural North,-30.497063,151.65599,Primary School,179.0
Property 30571,3329,Vineyard Public School,Vineyard,2765,Metropolitan North,-33.647352,150.857935,Primary School,97.0
Property 31227,8142,Wagga Wagga High School,Wagga Wagga,2650,Rural South and West,-35.124438,147.364366,Secondary School,816.1999999999999
